date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,4,-2,0.0,8.7,2,71,03:27 PM,04:53 AM,08:26 AM,05:57 PM,-13,-6,-1,-6,15,6,41,0.0,1025,-1,10,265,9,20735
2015-01-01 12:00:00,4,-2,0.0,8.7,2,71,03:27 PM,04:53 AM,08:26 AM,05:57 PM,-11,-0,4,-0,19,33,31,0.0,1021,4,10,231,15,20735
2015-01-02 00:00:00,7,0,0.0,8.7,2,78,04:13 PM,05:52 AM,08:26 AM,05:58 PM,-5,-4,0,-4,14,31,70,0.0,1021,0,10,244,7,20735
2015-01-02 12:00:00,7,0,0.0,8.7,2,78,04:13 PM,05:52 AM,08:26 AM,05:58 PM,-3,4,7,4,9,9,48,0.0,1026,7,10,273,8,20735
2015-01-03 00:00:00,7,2,0.0,3.5,2,85,05:04 PM,06:46 AM,08:26 AM,05:58 PM,-3,-0,3,-0,9,6,68,0.0,1031,3,10,66,5,20735
2015-01-03 12:00:00,7,2,0.0,3.5,2,85,05:04 PM,06:46 AM,08:26 AM,05:58 PM,3,3,7,3,6,100,79,0.0,1030,7,10,48,5,20735
2015-01-04 00:00:00,16,6,0.0,3.5,3,92,05:57 PM,07:37 AM,08:26 AM,05:59 PM,6,3,6,3,6,85,97,0.4,1019,6,2,244,4,20735
2015-01-04 12:00:00,16,6,0.0,3.5,3,92,05:57 PM,07:37 AM,08:26 AM,05:59 PM,13,12,14,12,21,100,93,0.6,1011,14,2,195,11,20735
2015-01-05 00:00:00,3,-2,0.0,9.7,2,99,06:51 PM,08:22 AM,08:26 AM,06:00 PM,1,1,5,1,43,0,74,0.8,1018,5,10,293,24,20735
2015-01-05 12:00:00,3,-2,0.0,9.7,2,99,06:51 PM,08:22 AM,08:26 AM,06:00 PM,-9,-5,1,-5,35,0,45,0.1,1027,1,9,292,29,20735
2015-01-06 00:00:00,1,-4,4.6,8.2,2,95,07:47 PM,09:03 AM,08:26 AM,06:01 PM,-16,-6,-2,-6,14,56,33,0.0,1031,-2,10,343,11,20735
2015-01-06 12:00:00,1,-4,4.6,8.2,2,95,07:47 PM,09:03 AM,08:26 AM,06:01 PM,-5,-3,1,-3,8,31,65,2.1,1020,1,5,193,7,20735
2015-01-07 00:00:00,-5,-11,0.0,9.8,2,88,08:43 PM,09:40 AM,08:26 AM,06:02 PM,-7,-10,-5,-10,11,42,82,0.0,1020,-5,10,297,6,20735
2015-01-07 12:00:00,-5,-11,0.0,9.8,2,88,08:43 PM,09:40 AM,08:26 AM,06:02 PM,-13,-14,-5,-14,36,49,55,0.0,1020,-5,2,304,30,20735
2015-01-08 00:00:00,-7,-14,0.0,9.8,2,81,09:39 PM,10:13 AM,08:26 AM,06:03 PM,-17,-23,-13,-23,32,6,73,0.0,1032,-13,10,308,21,20735
2015-01-08 12:00:00,-7,-14,0.0,9.8,2,81,09:39 PM,10:13 AM,08:26 AM,06:03 PM,-16,-15,-9,-15,16,5,55,0.0,1033,-9,10,275,14,20735
2015-01-09 00:00:00,1,-6,0.0,9.8,2,74,10:33 PM,10:44 AM,08:26 AM,06:04 PM,-17,-13,-6,-13,32,51,41,0.0,1022,-6,10,196,21,20735
2015-01-09 12:00:00,1,-6,0.0,9.8,2,74,10:33 PM,10:44 AM,08:26 AM,06:04 PM,-8,-5,1,-5,18,87,51,0.0,1020,1,10,274,14,20735
2015-01-10 00:00:00,-1,-10,0.0,9.8,2,68,11:29 PM,11:14 AM,08:26 AM,06:05 PM,-12,-15,-7,-15,29,0,66,0.0,1029,-7,10,317,17,20735
